Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Montana,NorthCarolina,Wyoming
25,Adapted Physical Education Specialists,3.88,2.12,2.12,3.38,3.38,3,2,2.75,4,4.12,2.75,1.88,3.12,3,3,2.38,3.88,3.88,2,2,2,3,2,2,2, ,63830, 
23,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.12,1.12,1,2.88,4.25,1.75,2.25,2.62,4.25,4,2.62,1,3.12,1,1,1.75,4.25,4.12,2,2,3,2,2,2,1,83680,117070, 
25,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",3.5,1,1,3.25,3.25,1,2.88,2.75,3.88,4.25,2.62,1,3,1,1,2,4,4,2,2,3,2,2,2,1,59760,53500,49440
25,"Agricultural Sciences Teachers, Postsecondary",4,1.75,1.38,3.38,4,2,3,3,4.12,4.5,2.12,1.75,2.62,1.75,1.88,2.12,4.12,4,2,2,2,2,2,2,1,112740,97660,80750
25,"Anthropology and Archeology Teachers, Postsecondary",3.88,1.25,1,3.38,3.88,1.5,2.88,3,4.12,4.5,2.25,1,3,1,1,2.12,4.12,4.12,2,2,3,2,2,2,1, ,82580, 
23,"Arbitrators, Mediators, and Conciliators",4,1,1,3.12,4,1,2.12,2,4.12,4.12,2,1,3.25,1,1,2,4.25,4.25,2,2,3,3,2,1,1, ,74000, 
25,"Architecture Teachers, Postsecondary",4,1,1,3.5,3.88,1,3.12,2.88,4,4.25,2.38,1.25,2.88,1,1,3.5,4,4,2,2,3,2,2,2,1, ,85120, 
25,Archivists,3.62,2,1.38,3,3.5,2,2.12,2.62,3.75,3.88,2.38,1,3,1.75,2,2.38,4,3.88,2,2,2,2,1,1,1, ,57460, 
25,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",3.62,1,1,3.12,3.75,1,2,2.75,4,4.12,2.12,1,2.88,1,1,2,4,4.12,2,2,2,3,2,2,1,83540,79590, 
25,"Art, Drama, and Music Teachers, Postsecondary",3.5,1.38,1.25,3.5,3.62,2.12,2,2.5,4,4.25,2.12,1.38,2.88,1.25,1.62,3,4.12,4.12,2,2,2,2,2,2,1,78140,71290,62760
25,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",4,1.12,1,3,4,1,3.38,3,4,4.75,2.12,1,2.75,1,1.25,2.12,4,4,2,2,2,2,2,1,1,121610,110800,95500
25,"Biological Science Teachers, Postsecondary",4,1,1,3.38,4,1.75,3.12,2.75,4.12,4.62,2.25,1,2.88,1,1,2,4.12,4.12,2,2,2,2,2,2,1,106850,90470,83110
25,"Business Teachers, Postsecondary",3.88,1,1,3,3.88,1,3.12,2.88,4,4.62,2.12,1,3,1,1,2.12,4.12,4.12,2,2,2,2,2,2,1,111350,101140,93420
25,"Career/Technical Education Teachers, Middle School",3.88,1.88,1.38,3.25,3.75,2,2.75,2.75,4,4.12,3,1.88,3.12,1.88,1.88,2.75,4,3.88,2,2,2,2,2,1,2,60690,52580,62130
25,"Career/Technical Education Teachers, Postsecondary",3.62,2,1.38,2.88,3.25,2.5,2.12,2.88,4,4,2.12,2,3,2,2,2.62,3.88,3.88,2,2,3,2,2,1,2,60970,58260,56430
25,"Career/Technical Education Teachers, Secondary School",3.75,1.88,1.38,3.25,3.75,2.75,3,3,4.12,4.12,2.88,1.88,3.25,2,2.12,2.88,4,4,2,2,3,3,2,2,2,63930,56600,63970
25,"Chemistry Teachers, Postsecondary",4,1,1,3.12,3.88,1.38,3,3,4,4.12,2.25,1,3.12,1,1,2.38,4,4.12,2,2,1,2,2,1,2,99350,95460,85680
25,"Communications Teachers, Postsecondary",3.75,1,1,3,3.75,1.12,2.25,2.88,4.12,4.12,2.12,1,3,1,1,2,4,4,2,2,3,2,2,2,1,96140,72590,72280
25,"Computer Science Teachers, Postsecondary",3.88,1,1,3.12,3.88,1.38,3,2.88,4.12,4.12,2.75,1,3.12,1,1,2.38,4,4,2,2,3,2,2,2,1,98120,86080, 
25,"Criminal Justice and Law Enforcement Teachers, Postsecondary",3.75,1,1,3,3.88,1,2,2.75,4,4.12,2,1,2.88,1,1,2,4,4,2,2,2,2,2,2,1, ,60130,75540
25,Curators,3.88,1.62,1.12,3.38,3.75,2,2.88,2.75,4,4,2.75,1,3.12,1.75,2.12,3.25,4,3.88,2,2,3,2,2,2,1,52470,54420,56170
25,"Economics Teachers, Postsecondary",3.88,1,1,3.12,3.75,1,3.38,3,4,4.12,2.5,1,2.88,1,1,2.5,4,4,2,2,1,2,1,1,1, ,132670, 
25,"Education Teachers, Postsecondary",3.88,1.12,1,3.12,3.88,1.75,2.12,2.62,4.12,4.38,2.12,1,2.88,1,1,2.12,4.12,4.12,2,2,2,2,2,2,1,76200,72270,70110
25,"Elementary School Teachers, Except Special Education",3.88,1.38,1.38,3.88,4,1.5,3,2.88,4,4.62,2.62,1,3.12,2.12,2,2.62,3.88,3.88,2,2,3,3,2,2,1,58300,51890,62500
25,"Engineering Teachers, Postsecondary",3.88,1,1,3.25,3.88,1,3.75,2.88,4,4.38,2.62,1.12,3,1,1,3.12,4.12,3.88,2,2,2,2,1,2,1,132790, ,97660
25,"English Language and Literature Teachers, Postsecondary",3.88,1,1,3.25,3.88,1,2,2.75,4.25,4.62,2,1,2.88,1,1,2,4.88,4.25,2,2,3,2,2,2,1,75380,66770,71460
25,"Environmental Science Teachers, Postsecondary",4,1,1,3.12,4,1,3.12,2.75,4,4.38,2.25,1,2.88,1,1,2.12,4.12,4,2,2,2,2,1,1,1,110060,83920, 
25,"Family and Consumer Sciences Teachers, Postsecondary",3.62,1,1,3,3.5,1.12,2.75,2.75,4,4.12,2.25,1,2.75,1,1,2.25,4.12,4,2,2,1,2,2,1,1, ,78720, 
25,Farm and Home Management Educators,4,1.75,1.5,3.5,4,2,3,3.12,4.12,4.5,2.88,1.88,3,1.75,1.75,3,4.12,4,2,2,3,3,2,2,1,61650,62210,64870
25,"Foreign Language and Literature Teachers, Postsecondary",3.38,1,1,2.88,3.62,1,2,2.88,4.12,4.25,2.12,1,3,1,1,2,4,4,2,2,2,2,2,1,1,86750,67610, 
25,"Forestry and Conservation Science Teachers, Postsecondary",3.75,1.38,1.38,3.12,3.75,1,3.25,2.75,4.12,4.75,2.38,1.62,2.88,1.38,1.62,2,4.25,4.12,2,2,3,2,2,2,1,91730, , 
