V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241158,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241621,V243052
221569,1,1,1,5,1,1,1,1,1,4,5,4,3,3,4,3,3,3,1,1,1,100,0,100,85,15,1,1,1,2,2,5,5,5,5,2,1,1,1,4,3,4,2,1,3,2,SOA
221616,2,2,1,2,1,2,2,2,2,2,4,4,3,1,3,2,4,3,2,2,2,15,60,15,45,65,5,4,5,4,3,2,3,3,3,3,1,1,1,2,2,1,4,1,1,3,SOA
223044,3,1,1,1,1,2,1,1,1,3,4,4,4,1,4,2,4,4,2,2,2,15,60,30,40,60,5,5,4,4,4,2,3,2,5,3,2,1,1,2,4,6,2,1,6,3,SOA
223128,1,2,1,4,1,2,1,2,2,1,4,2,4,1,4,2,4,4,2,2,2,0,85,0,40,70,5,5,3,5,4,1,1,3,4,1,1,1,1,3,2,4,3,1,1,4,SOA
223290,4,1,1,5,1,1,2,1,5,3,3,3,3,3,3,3,3,3,2,2,1,60,7,15,50,50,5,5,5,4,4,5,5,5,5,4,2,1,1,4,2,1,6,1,4,3,SOA
223659,4,1,1,1,1,1,1,1,1,4,2,2,2,3,2,3,2,2,1,2,1,85,0,70,70,50,2,3,1,3,2,3,5,4,5,2,1,1,1,4,4,4,2,1,1,4,SOA
223735,2,2,1,2,1,2,1,2,2,2,4,4,4,3,4,3,5,4,2,2,2,0,70,0,15,90,5,5,4,5,3,2,5,2,2,2,1,1,1,2,2,4,4,2,1,3,SOA
223985,4,2,1,2,1,1,1,5,5,5,3,3,2,2,4,3,2,2,2,2,1,60,50,50,40,40,2,2,2,2,2,3,2,3,3,3,3,2,3,4,3,6,1,2,1,5,SOA
224340,3,1,1,1,1,1,1,1,1,5,3,1,2,2,3,3,2,3,1,2,1,100,15,85,85,40,2,2,2,2,1,5,5,4,5,3,1,1,1,3,3,4,3,2,2,1,SOA
224516,4,2,1,5,1,2,4,2,5,1,4,4,4,1,4,1,4,3,2,2,2,40,55,20,55,55,3,5,3,5,4,3,4,4,4,4,2,2,3,3,3,1,2,1,1,4,SOA
224616,4,1,1,4,1,1,3,5,5,1,5,5,5,1,5,1,5,5,2,2,2,60,30,0,60,60,3,2,3,3,2,2,5,2,5,2,2,1,1,1,4,6,2,1,1,4,SOA
224622,3,2,1,2,1,2,1,2,2,1,4,4,4,1,4,1,4,4,2,2,2,0,80,0,2,75,5,5,5,5,5,1,2,3,3,2,1,1,1,4,4,1,4,1,1,2,SOA
224800,1,1,1,5,1,1,1,1,1,3,3,2,2,3,2,2,3,2,1,1,1,85,0,85,90,40,1,2,2,1,2,5,5,4,5,4,1,2,2,4,2,1,5,1,1,1,SOA
