V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241158,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241567x,V241621,V243052
209212,3,2,1,5,1,2,1,2,2,2,4,4,4,2,4,2,4,4,2,2,2,5,70,10,5,4,5,4,3,2,1,2,3,1,2,1,1,3,4,6,4,1,1,2688,2,MWE
209340,3,1,1,5,1,1,1,1,1,3,4,3,3,3,3,3,3,5,1,1,1,88,0,85,2,2,1,2,2,4,5,5,5,5,2,1,1,4,2,1,5,2,1,64111,2,MWE
209364,1,1,1,5,1,1,1,1,5,3,3,3,3,3,2,3,3,3,1,1,1,85,0,75,1,1,2,1,2,5,5,5,5,5,3,1,2,3,2,6,4,1,1,87387,3,MWE
209508,2,1,1,5,1,2,1,1,1,2,4,4,4,2,4,2,4,4,1,2,2,50,60,40,4,3,3,3,2,2,4,4,5,2,1,1,1,3,3,1,4,1,1,524964,1,MWE
209635,2,2,1,5,1,2,1,2,2,3,5,5,5,1,5,1,5,5,2,2,2,0,85,15,5,5,5,5,2,2,2,2,4,2,2,1,1,3,5,1,2,1,1,218907,1,MWE
209700,2,1,1,5,1,1,1,1,1,2,4,4,4,2,4,2,4,4,1,1,1,100,0,85,1,1,1,1,1,5,5,5,5,4,1,1,2,4,2,3,6,2,1,776258,2,MWE
210063,2,1,1,2,1,1,1,1,2,2,4,4,4,2,5,1,5,4,1,2,2,70,0,40,2,3,3,3,1,5,5,5,5,5,1,1,1,2,4,1,4,2,1,291289,2,MWE
210135,2,1,1,5,1,1,1,1,1,2,3,4,3,2,3,1,4,4,1,2,1,80,0,65,2,1,2,2,1,5,5,5,5,5,1,1,2,3,4,1,5,1,1,140325,2,MWE
210387,3,1,1,5,1,1,2,5,5,1,4,3,4,2,4,1,5,4,1,1,1,85,0,70,2,1,1,2,2,3,5,5,5,4,1,1,1,2,2,6,2,1,1,222586,2,MWE
210602,3,2,1,5,1,2,1,2,2,4,3,3,4,3,3,4,4,3,2,2,2,0,60,0,5,4,5,5,3,2,2,2,3,2,2,1,1,3,3,3,3,1,1,62547,1,MWE
210728,4,2,1,5,1,2,1,2,2,3,1,2,3,1,2,1,3,1,2,2,2,0,75,0,5,5,5,5,1,1,2,1,3,1,1,1,1,3,3,4,4,1,1,80764,2,MWE
210765,3,1,1,5,1,1,1,1,1,1,4,3,3,2,4,1,3,4,1,1,1,80,0,60,3,4,3,4,3,5,5,5,5,5,1,1,1,3,4,1,4,1,1,265360,3,MWE
210783,1,1,1,5,1,1,1,1,1,4,2,2,1,4,3,4,2,3,1,1,1,70,0,75,3,3,2,2,2,4,5,5,5,5,1,2,2,4,2,1,2,2,1,82469,2,MWE
211022,1,2,1,5,1,2,1,5,5,1,4,4,4,2,4,1,4,4,2,2,2,0,85,0,5,5,5,5,4,1,5,2,3,2,2,1,1,3,3,1,3,1,1,90798,2,MWE
211093,2,2,1,5,1,2,1,2,2,3,3,4,3,4,2,3,4,3,2,2,2,100,85,15,3,3,3,3,2,3,3,3,3,3,2,2,3,5,5,6,2,2,2,23313,3,MWE
211099,2,2,1,5,1,1,1,1,1,4,3,2,2,4,2,4,3,3,1,2,1,75,0,85,3,2,2,2,1,5,5,5,5,5,1,2,2,4,2,1,4,2,1,94864,2,MWE
211241,2,2,1,5,1,1,1,1,5,3,5,5,4,2,5,1,4,4,1,1,1,100,0,85,1,1,1,1,1,5,5,5,5,5,1,1,1,2,4,6,5,1,1,56835,5,MWE
211288,3,1,1,5,1,1,1,1,1,2,1,3,1,2,1,2,1,2,1,1,1,100,0,85,1,1,1,1,1,5,5,5,5,5,2,1,1,3,3,3,5,2,3,39940,2,MWE
211300,2,1,1,5,1,1,1,1,1,5,3,3,3,3,3,4,3,3,1,2,1,100,0,100,2,1,1,1,2,1,5,5,5,5,1,1,2,4,4,1,2,2,1,87925,2,MWE
211395,2,2,1,5,1,2,1,2,2,2,4,4,4,2,4,1,4,4,2,2,2,10,95,40,5,5,5,5,5,2,2,2,2,1,2,1,1,4,2,1,2,2,1,162611,2,MWE
211638,2,1,1,5,1,2,1,1,1,4,1,1,1,4,1,4,1,1,2,1,1,15,85,50,5,5,5,5,4,2,2,2,3,2,1,2,2,4,2,1,3,1,4,642642,5,MWE
212191,5,1,1,5,1,1,2,5,5,2,4,3,4,2,4,1,4,4,2,1,1,85,0,30,2,2,2,2,3,5,5,5,5,4,2,1,1,2,2,6,4,1,1,25410,2,MWE
212359,2,1,1,5,1,1,1,1,2,3,5,5,5,2,5,2,5,5,1,1,1,75,5,60,3,2,3,3,3,4,5,4,5,4,2,1,1,2,2,6,4,1,1,74358,3,MWE
212400,2,2,1,5,1,2,1,2,5,1,5,5,5,1,4,1,5,4,2,2,2,0,85,15,5,5,5,5,4,2,2,2,4,2,2,1,1,2,4,1,2,1,1,147155,3,MWE
212417,4,2,1,5,1,2,2,2,2,3,2,3,3,1,3,1,3,3,2,2,2,0,85,15,5,5,4,5,3,1,2,2,3,3,1,1,1,3,3,1,2,2,3,83919,3,MWE
212441,1,2,1,5,1,2,1,2,2,1,3,5,5,2,5,1,5,4,2,2,2,10,75,5,5,5,5,5,2,2,2,2,4,2,2,1,1,2,3,1,4,1,1,735041,2,MWE
212475,2,1,1,5,1,1,1,1,1,4,2,1,2,4,2,3,2,2,1,1,1,85,0,70,2,2,2,2,2,5,5,5,5,4,1,1,2,4,2,4,2,1,1,63455,3,MWE
212487,3,1,1,5,1,1,1,1,1,4,1,1,2,3,2,3,2,1,1,1,1,85,0,90,2,1,1,2,1,5,5,5,5,5,2,1,2,4,2,1,2,2,1,191822,2,MWE
212823,2,2,1,5,1,2,1,5,5,1,4,4,3,1,4,1,4,4,2,2,2,10,75,10,5,5,4,5,3,2,2,2,2,2,2,1,1,3,4,3,3,1,1,49881,2,MWE
212998,2,1,1,5,1,1,1,1,1,2,3,3,2,2,3,3,2,3,1,1,1,75,15,65,2,3,2,3,1,4,5,4,5,4,1,1,2,3,2,6,2,1,1,46222,3,MWE
213135,2,1,1,5,1,1,1,1,5,3,1,1,2,3,2,2,2,2,2,2,2,60,30,60,3,2,3,3,1,3,5,5,5,3,2,1,1,4,3,1,5,1,1,207288,1,MWE
213206,3,2,1,5,1,2,2,2,2,2,3,2,3,3,3,3,3,4,2,2,1,15,60,40,5,3,5,4,4,3,3,2,3,3,1,1,1,4,3,1,2,1,1,563908,1,MWE
213399,4,2,2,5,1,1,4,5,5,1,2,2,2,2,2,1,2,2,2,2,2,50,0,50,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,6,2,1,3,670702,4,MWE
213489,1,2,1,5,1,2,1,2,5,1,5,5,3,1,5,1,5,3,2,2,2,5,90,5,5,5,5,5,3,2,2,2,3,3,1,1,1,2,3,4,3,2,1,31702,5,MWE
213631,3,1,1,5,1,1,1,1,1,2,4,4,5,1,5,1,4,5,1,1,1,85,0,85,1,2,2,2,1,5,5,5,5,3,1,1,2,3,3,6,4,1,1,276186,2,MWE
213643,2,1,1,5,1,1,1,1,1,3,4,3,4,3,4,3,4,4,2,1,1,100,0,90,1,2,2,2,2,5,5,5,5,5,2,1,2,3,2,1,3,2,1,84179,2,MWE
213666,2,1,1,5,1,1,1,1,1,3,3,3,2,3,3,3,3,4,1,1,1,85,0,70,3,2,2,2,2,5,5,5,5,3,1,1,2,4,2,1,4,2,1,74150,1,MWE
213725,2,2,1,5,1,2,1,2,2,4,2,1,2,3,2,3,2,3,2,2,2,40,60,40,4,3,3,3,2,2,3,3,3,2,1,1,1,3,2,3,2,2,1,28163,1,MWE
213997,3,1,1,5,1,2,1,5,5,1,4,3,4,1,5,1,4,4,2,2,1,60,85,60,3,3,2,3,3,2,3,2,4,2,1,1,1,2,5,6,3,1,1,71442,3,MWE
214249,4,1,1,5,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,1,1,85,0,60,2,1,2,2,1,5,5,4,5,5,1,1,1,3,3,1,5,1,1,68215,3,MWE
214255,4,2,1,5,1,2,3,2,5,1,5,5,5,1,5,1,5,5,2,2,2,0,70,0,5,5,5,5,5,1,3,3,3,2,3,1,2,3,3,4,3,1,1,84617,4,MWE
214296,3,1,1,5,1,1,1,1,1,4,4,4,4,3,4,3,4,4,1,1,1,100,0,100,1,1,1,1,1,5,5,5,5,5,2,1,1,3,3,3,2,2,1,5669,3,MWE
214522,3,1,2,5,1,1,4,5,5,2,5,4,4,2,4,2,5,4,2,2,2,60,0,40,4,3,3,3,3,4,4,3,5,3,2,1,1,3,5,4,2,1,1,79608,1,MWE
214664,4,2,1,5,1,1,1,1,1,4,2,1,2,3,3,3,2,3,2,1,1,65,0,30,3,3,1,2,2,2,5,4,5,3,1,1,1,3,2,1,4,1,1,190808,3,MWE
214723,3,2,1,5,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,0,100,0,5,5,5,5,3,1,1,1,1,2,1,1,1,2,2,1,2,1,1,5817,2,MWE
214843,3,2,1,5,1,2,1,2,2,4,3,5,4,3,2,3,4,4,2,2,2,0,85,0,5,5,5,5,4,1,2,2,2,1,1,1,1,2,4,1,3,2,1,154541,3,MWE
214915,2,2,1,5,1,2,1,2,2,1,5,4,4,2,4,2,5,4,2,2,2,0,85,0,5,5,5,5,4,1,1,1,2,1,1,1,1,4,2,1,2,2,1,53715,2,MWE
