V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241450,V241459,V241463,V241471,V241501x,V241521,V241621,V243052
207027,2,2,1,5,1,1,1,5,5,3,4,4,3,3,4,2,4,4,1,2,1,60,40,3,3,2,3,2,4,5,5,5,3,1,1,1,4,2,2,6,4,1,1,0,4,MWW
208206,3,1,1,5,1,1,1,1,1,3,1,2,2,3,2,3,1,2,1,2,2,65,25,3,2,2,2,2,2,5,3,5,2,1,2,2,4,2,2,4,4,1,1,2,2,MWW
208497,2,1,1,5,1,1,1,1,1,3,3,4,3,1,4,1,4,4,1,1,1,85,15,2,1,2,2,1,5,5,5,5,4,2,1,1,4,2,1,1,3,2,1,0,2,MWW
208503,2,1,1,5,1,1,1,1,1,4,3,3,3,4,3,4,3,3,1,1,1,85,30,1,1,1,1,2,5,5,5,5,3,1,2,2,4,2,0,3,4,2,1,0,1,MWW
208735,4,2,1,5,1,2,4,5,5,2,3,2,2,1,3,1,2,2,2,2,2,30,60,5,4,5,4,4,2,2,2,3,2,2,1,1,4,3,0,4,2,1,1,0,2,MWW
209394,4,1,1,4,1,1,2,1,1,4,2,2,2,4,2,4,2,2,2,2,1,85,60,1,2,1,2,1,5,5,5,5,5,2,1,1,3,2,4,6,4,1,1,3,2,MWW
209736,3,1,2,5,1,1,2,5,5,2,2,1,3,1,3,1,2,3,1,1,1,70,30,2,3,2,2,2,5,5,5,5,5,2,1,2,4,5,1,6,2,1,1,0,4,MWW
209893,2,2,1,5,1,1,1,1,1,3,3,2,2,2,2,3,3,4,2,2,2,65,20,3,2,4,2,2,4,5,5,5,2,1,2,1,4,2,0,6,5,1,1,0,3,MWW
209940,3,2,1,1,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,50,50,4,4,4,4,4,2,2,2,2,2,2,1,1,2,4,2,6,2,1,1,1,3,MWW
210045,3,2,1,5,1,1,1,1,2,5,1,1,2,4,1,4,1,1,1,1,1,60,40,2,3,3,2,3,5,5,5,5,5,2,1,1,1,5,5,1,3,1,1,2,2,MWW
210153,3,1,1,1,1,1,1,1,1,2,3,3,2,2,3,3,3,3,2,2,1,80,10,1,1,1,1,1,5,5,5,5,5,2,2,2,4,2,2,3,2,2,1,0,4,MWW
210165,1,1,1,5,1,1,1,1,1,3,3,2,2,3,3,3,2,2,1,2,1,80,15,2,2,1,1,1,5,5,5,5,4,1,1,1,2,2,0,1,3,2,1,0,1,MWW
210177,2,1,1,5,1,1,1,1,1,4,3,1,2,4,2,4,3,2,1,1,1,85,30,2,3,2,2,1,4,5,4,5,5,1,1,2,4,2,0,3,2,2,1,0,2,MWW
210219,1,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,4,3,1,2,1,85,45,2,2,1,2,1,5,5,5,5,3,1,1,2,4,2,1,1,4,2,1,0,3,MWW
211193,2,2,1,2,1,2,1,2,2,4,5,3,4,2,5,1,5,3,2,2,2,15,60,5,5,3,5,3,2,3,2,3,2,1,1,1,3,3,2,1,2,1,1,0,2,MWW
211430,2,1,1,5,1,1,1,1,5,1,5,4,4,1,5,2,4,5,2,2,2,30,40,4,3,4,4,2,4,5,3,5,3,1,1,1,3,2,1,1,3,2,1,0,3,MWW
211621,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,3,1,5,1,1,1,50,50,2,2,1,2,2,4,5,5,5,2,3,1,1,3,3,3,6,4,1,6,3,3,MWW
211828,2,2,1,2,1,2,1,2,5,1,5,5,5,1,5,1,5,5,2,2,2,30,60,5,3,4,5,1,1,3,1,4,3,2,1,1,2,3,0,6,4,1,1,0,3,MWW
211834,4,1,1,1,1,1,1,1,1,3,4,2,2,3,2,4,3,3,2,2,1,60,40,3,3,3,3,2,5,5,5,5,5,2,1,1,3,4,0,6,3,2,1,0,3,MWW
211858,3,2,1,5,1,2,1,1,2,3,4,4,4,3,4,3,4,4,2,2,2,30,30,5,4,3,4,3,4,4,3,4,3,1,1,2,2,3,0,1,2,2,1,0,2,MWW
212125,3,2,2,5,1,2,3,2,5,2,4,3,3,1,4,3,4,4,2,2,2,40,70,5,5,5,5,2,1,1,1,2,1,2,1,1,2,2,0,6,4,2,1,0,3,MWW
212599,1,2,1,2,1,2,1,2,2,4,3,3,2,3,3,4,4,3,2,2,2,15,70,5,5,5,5,3,1,1,1,2,2,1,1,1,3,3,2,1,2,1,1,1,1,MWW
212842,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,1,2,1,50,40,2,2,2,2,1,5,5,5,5,4,1,1,2,4,3,5,1,3,1,1,1,3,MWW
213124,4,1,1,2,1,2,1,2,2,2,2,2,2,2,3,3,1,4,2,2,2,15,60,4,4,5,4,3,5,5,4,5,4,1,2,1,4,2,1,1,3,1,1,0,2,MWW
213147,2,2,1,2,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,30,60,5,5,5,5,4,2,3,2,3,1,1,1,1,3,2,1,1,2,1,1,0,3,MWW
213201,1,2,1,1,1,2,1,1,1,2,5,5,5,2,5,2,5,5,2,2,2,40,40,5,5,5,5,4,1,2,3,3,2,2,1,1,2,2,1,3,2,2,1,0,2,MWW
213381,4,2,1,5,1,2,2,2,2,2,4,4,4,2,4,3,4,5,2,2,2,30,85,5,5,5,3,4,4,2,2,2,2,2,1,2,5,2,1,1,4,2,3,0,3,MWW
213524,3,2,1,5,1,2,1,5,2,3,4,4,2,2,4,2,4,3,2,2,2,2,75,5,5,4,5,3,1,1,1,1,2,1,2,1,3,2,7,1,2,1,1,6,4,MWW
213578,3,2,1,5,1,2,1,2,1,2,5,5,4,1,4,1,4,4,2,2,2,10,55,5,5,5,5,5,1,3,2,3,3,3,1,1,3,3,0,6,2,1,1,0,3,MWW
213595,2,2,1,5,1,2,1,2,2,2,4,4,4,1,4,1,4,4,2,2,2,10,75,5,5,5,5,4,1,1,1,2,1,1,1,1,3,3,0,6,6,1,1,0,3,MWW
213649,2,1,1,5,1,2,1,2,2,2,3,3,4,2,3,3,4,4,2,2,2,15,85,3,3,3,3,3,2,3,2,4,1,2,1,1,4,2,1,1,4,2,1,0,2,MWW
213660,4,2,1,5,1,1,2,1,1,2,4,4,4,1,4,2,4,4,2,2,2,60,30,3,2,3,2,2,5,5,3,5,4,1,1,1,4,4,0,4,4,1,1,0,3,MWW
214026,4,1,1,4,1,1,2,1,5,4,3,2,2,3,4,3,2,4,1,1,1,60,40,4,4,4,4,3,5,5,5,5,4,1,1,1,2,2,1,1,5,1,1,0,2,MWW
214216,2,1,1,5,1,1,1,1,2,1,4,4,4,1,4,1,4,4,2,2,2,40,40,3,4,3,4,2,5,5,4,5,2,1,1,1,2,5,1,1,3,1,1,0,3,MWW
