V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241521,V241567x,V241621,V243052
219841,2,1,1,5,1,1,2,1,1,4,3,2,3,3,3,3,3,3,1,1,1,100,40,2,1,2,2,1,4,5,3,5,4,1,1,3,3,2,1,2,2,2,3,6456,2,SW
219888,3,1,1,5,1,1,1,1,1,2,4,3,3,3,4,1,3,4,1,1,1,70,30,2,2,2,2,1,5,5,5,5,5,2,1,1,3,2,4,4,1,1,0,674584,1,SW
220202,2,2,1,2,1,2,3,5,2,2,3,2,2,3,2,2,2,3,2,2,2,40,65,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,1,4,1,1,0,200349,1,SW
220464,2,1,1,5,1,1,2,1,1,3,5,5,5,2,5,2,5,5,2,1,1,75,5,1,3,1,1,1,5,5,5,5,4,1,1,1,3,4,1,3,1,1,4,150746,2,SW
221138,2,1,1,5,1,1,1,1,1,3,2,3,4,1,3,1,4,5,1,1,1,70,30,1,2,1,2,1,5,5,5,5,5,2,1,1,3,4,6,2,1,2,0,176919,3,SW
221406,3,1,1,5,1,1,1,1,1,2,3,4,4,2,4,3,5,4,1,1,1,50,30,2,1,2,3,2,5,5,5,5,5,1,1,2,4,4,1,2,1,1,0,562117,2,SW
221792,4,1,2,5,1,1,3,5,5,1,3,3,4,1,3,1,4,4,1,1,1,70,40,4,5,4,4,4,4,5,5,5,4,2,1,1,2,4,6,2,1,6,0,59315,5,SW
221816,2,1,1,1,1,1,1,1,1,2,4,3,3,2,4,3,3,2,1,1,1,75,30,1,1,2,2,1,5,5,5,5,5,3,1,2,4,4,6,4,1,3,0,31471,1,SW
222189,1,1,1,1,1,1,1,1,1,2,3,3,3,2,3,2,3,3,1,1,1,85,15,1,1,1,1,2,5,5,5,5,4,1,1,1,4,2,1,2,1,5,1,96598,1,SW
222294,2,1,1,1,1,1,1,1,1,3,3,1,2,3,3,1,2,3,1,1,1,70,30,2,3,1,2,1,5,5,4,5,3,2,1,2,3,2,1,6,1,1,2,224144,2,SW
222306,2,1,2,5,1,1,1,5,5,3,2,3,3,3,3,3,2,3,1,2,1,99,15,1,1,1,1,1,3,5,2,5,4,2,1,1,4,3,1,1,1,1,0,5342,2,SW
222541,1,1,1,1,1,1,1,1,1,3,2,4,3,3,3,2,4,4,1,1,1,75,10,3,3,1,2,2,4,5,5,5,4,1,1,2,4,2,6,5,1,1,0,120992,3,SW
222553,2,2,1,5,1,2,1,1,2,1,5,5,5,1,5,1,5,5,2,2,2,50,50,1,5,1,1,1,1,3,1,1,1,2,1,1,1,3,1,2,1,3,1,50911,1,SW
222589,1,1,1,5,1,1,1,1,1,2,2,2,3,1,3,2,3,3,1,1,1,85,30,1,2,2,1,1,2,5,5,5,5,2,1,2,4,2,6,4,2,3,0,94812,3,SW
222607,2,1,1,4,1,1,1,5,2,4,3,3,3,4,3,4,4,3,1,1,1,55,30,3,3,2,2,2,5,4,3,3,2,2,2,1,4,2,6,2,1,1,0,44452,3,SW
222643,4,1,1,2,1,1,2,1,1,3,1,1,2,4,3,3,2,2,1,1,1,60,5,3,3,3,2,2,4,5,5,5,4,1,2,3,4,2,1,6,2,1,0,123671,2,SW
222655,1,1,1,2,1,1,1,1,5,4,2,3,3,4,3,3,3,3,1,1,1,65,25,3,3,1,2,1,3,5,5,5,3,1,2,2,4,2,1,5,2,1,2,84222,2,SW
222690,3,2,1,5,1,2,1,2,2,1,4,4,4,1,5,1,5,5,2,2,2,15,70,5,5,5,5,4,3,3,2,3,2,2,1,1,1,3,1,3,1,1,0,168999,2,SW
222833,4,2,1,4,1,2,1,2,5,2,4,5,5,1,5,2,4,5,2,2,2,50,50,5,5,4,4,4,2,3,2,2,2,2,1,1,2,4,3,2,1,1,0,30634,4,SW
222951,2,1,2,5,1,2,3,5,5,3,2,2,2,2,3,2,2,2,1,1,1,30,40,2,2,1,3,1,3,2,2,4,2,2,2,2,3,3,1,3,2,4,0,62078,4,SW
222969,2,1,1,5,1,1,1,1,5,3,4,3,3,2,4,2,3,4,1,1,1,70,15,2,1,2,2,1,5,5,5,5,3,1,1,2,3,2,6,4,1,1,0,51129,2,SW
223195,1,1,1,1,1,1,1,1,1,4,2,2,2,3,3,2,2,3,1,2,2,69,20,2,1,2,2,1,5,5,5,2,5,2,2,3,3,3,4,2,1,2,0,6517,2,SW
223296,4,1,1,5,1,1,1,1,1,3,2,3,2,3,3,3,3,2,2,2,2,70,40,3,2,2,2,2,4,4,5,5,4,2,2,1,4,3,1,2,2,1,0,245276,2,SW
223480,1,2,1,5,1,2,1,2,5,3,4,4,4,3,5,3,4,3,2,2,2,25,80,5,5,5,5,2,1,1,3,3,2,1,1,1,4,2,6,4,2,1,0,372226,1,SW
223636,4,1,1,5,1,2,3,5,5,4,4,3,3,3,3,3,3,2,2,2,2,60,60,3,3,3,4,3,3,3,3,5,3,2,1,2,4,2,1,3,1,4,0,81545,2,SW
223689,1,2,2,5,1,2,2,5,5,3,3,3,3,3,3,3,3,3,1,1,1,50,50,3,2,3,3,3,3,4,3,3,3,2,2,2,4,3,6,3,1,3,3,34568,3,SW
223753,3,1,1,5,1,1,1,1,1,1,3,3,3,3,3,1,3,4,1,1,1,42,5,3,5,2,3,2,5,5,5,5,2,1,2,1,3,2,1,4,1,1,2,670602,1,SW
224174,4,2,2,5,1,2,3,2,2,2,5,5,5,1,5,1,5,5,2,2,2,30,60,3,3,3,5,2,1,1,3,3,1,1,1,1,1,3,6,4,1,1,0,51962,3,SW
224287,3,2,2,5,1,2,2,5,5,3,3,2,2,3,2,4,4,4,2,2,2,29,64,5,5,4,5,2,1,3,1,4,3,1,2,2,2,3,1,2,2,1,0,59586,3,SW
224322,2,1,1,5,1,1,1,2,5,3,4,3,3,3,4,2,3,4,1,1,1,60,30,2,3,2,2,2,3,5,4,5,2,2,1,1,4,3,1,5,1,1,3,121603,2,SW
224416,1,1,1,5,1,1,1,1,1,3,3,2,2,3,2,3,2,3,1,1,1,80,20,2,1,2,2,1,5,5,4,5,4,1,1,2,3,2,1,4,1,1,0,158763,2,SW
224422,3,1,1,5,1,1,1,5,5,4,1,4,3,3,3,3,3,3,1,2,1,60,15,3,4,3,2,2,5,5,5,5,3,1,1,2,4,2,1,4,1,3,2,689139,1,SW
224551,4,2,1,5,1,2,3,5,5,1,3,4,4,1,3,2,4,2,2,2,2,15,60,5,5,5,5,3,1,1,1,1,2,2,1,1,2,4,6,2,1,1,0,45636,2,SW
224634,3,2,1,5,1,2,1,2,2,3,4,4,4,3,4,2,4,3,2,2,2,30,60,4,5,4,4,2,4,2,2,4,2,1,1,1,2,4,1,5,1,1,0,559729,2,SW
224739,4,1,1,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,70,4,4,4,4,4,2,3,2,4,2,1,1,1,3,2,1,2,2,1,0,84936,2,SW
224745,1,2,1,5,1,2,1,2,2,3,4,3,3,2,4,3,2,4,2,2,2,60,85,3,1,4,3,1,2,2,2,2,1,2,1,2,3,4,1,5,1,1,0,4304,3,SW
224853,2,1,1,5,1,1,1,1,1,3,4,4,4,3,5,2,4,5,1,1,1,85,15,2,2,2,2,1,5,5,5,5,5,1,1,1,3,2,1,4,1,1,0,268069,3,SW
225361,4,2,1,5,1,2,4,5,5,5,1,4,1,1,1,1,5,1,2,2,2,50,50,5,5,5,5,5,1,1,1,1,1,2,1,1,1,5,1,3,2,3,4,15375,3,SW
225616,2,1,1,5,1,1,1,1,1,4,3,3,3,3,2,3,2,2,1,1,1,85,40,1,1,2,2,3,3,5,3,5,3,1,2,2,4,4,3,3,1,3,0,17881,2,SW
225658,2,1,1,5,1,2,1,2,2,2,3,5,5,2,3,1,5,4,2,2,2,15,60,2,2,2,3,2,2,5,4,5,3,1,1,1,2,3,3,5,1,1,0,85492,2,SW
225664,1,2,1,2,1,2,1,2,2,1,3,5,5,2,5,1,5,4,2,2,2,15,70,5,5,5,5,4,1,1,1,3,2,1,1,1,4,2,1,5,1,1,2,474777,2,SW
225984,1,1,1,4,1,1,2,2,2,3,2,2,1,3,1,4,1,2,1,1,1,60,60,3,3,4,4,2,2,2,3,3,2,1,2,3,4,3,4,4,2,1,0,55301,3,SW
226955,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,1,1,100,50,1,1,1,1,1,5,5,5,5,1,2,2,2,4,4,4,3,1,2,2,2192,3,SW
227647,2,1,1,5,1,1,1,1,1,3,2,3,3,3,3,3,4,3,1,1,1,70,30,2,2,2,2,1,5,5,5,5,4,1,2,2,4,2,1,2,1,1,0,100700,2,SW
228303,2,2,1,5,1,2,1,2,2,4,4,4,4,1,4,1,4,4,2,2,2,15,100,5,5,5,5,5,1,1,1,1,1,3,1,2,4,4,3,4,2,1,0,29376,1,SW
228475,2,2,1,2,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,25,90,5,5,5,5,5,1,1,1,1,1,1,1,1,2,3,1,5,2,5,3,78281,3,SW
228622,1,2,2,5,1,2,3,5,5,3,5,5,5,1,5,1,5,5,2,2,2,50,85,5,5,5,5,5,1,1,1,1,1,1,1,1,2,3,1,2,1,1,1,63997,3,SW
228797,3,1,1,4,1,2,2,2,5,3,3,3,3,3,3,3,3,3,2,2,2,40,60,4,4,2,4,3,3,3,3,3,3,2,2,1,1,4,6,2,1,1,0,55410,3,SW
228880,4,1,1,4,1,2,3,2,2,3,3,4,3,2,3,2,3,4,2,1,2,60,70,3,3,3,3,3,2,2,4,2,3,1,1,1,3,5,4,2,1,3,0,41866,4,SW
228991,2,1,1,1,1,1,1,1,1,2,3,4,4,2,4,2,4,3,1,2,1,70,30,3,3,3,3,3,5,5,5,5,4,3,1,1,3,3,1,5,2,6,0,55026,2,SW
229003,3,1,1,4,1,1,1,1,1,4,2,3,2,3,3,3,3,2,1,1,1,70,8,2,2,2,1,1,5,5,5,5,4,1,1,2,3,2,6,2,1,1,0,37178,2,SW
229027,2,2,1,2,1,2,1,2,5,2,4,4,2,3,4,2,4,4,2,2,2,25,75,5,5,3,5,4,1,1,1,2,2,1,1,1,2,4,6,2,1,1,0,24862,4,SW
229259,3,1,1,1,1,1,1,1,1,4,3,4,3,3,3,2,3,4,1,1,1,65,35,2,2,2,2,2,5,5,5,5,5,1,1,2,3,2,1,4,2,6,0,188671,2,SW
229618,1,1,1,5,1,1,2,5,5,2,3,2,3,2,2,2,4,3,2,2,1,50,60,2,2,2,3,2,3,4,3,5,3,3,2,1,3,3,4,3,2,1,0,4139,4,SW
229630,3,1,1,5,1,2,1,2,2,3,4,2,3,2,4,2,3,4,2,2,2,30,85,5,5,5,5,5,2,2,1,3,3,1,1,2,3,3,4,3,1,1,1,76840,3,SW
229788,3,1,2,5,1,1,3,5,5,2,4,2,4,2,5,1,4,4,2,2,1,50,50,3,3,3,3,4,3,4,3,5,2,2,1,1,2,2,1,2,1,1,1,49679,4,SW
229834,3,1,1,5,1,1,1,1,1,2,4,5,5,1,4,1,5,4,2,2,2,15,15,4,3,3,3,3,5,5,5,5,4,1,1,1,2,4,4,3,2,2,0,13683,5,SW
229928,2,1,1,5,1,1,1,1,1,4,3,3,4,3,3,3,3,3,1,2,1,94,30,1,2,1,1,2,5,5,5,5,4,1,1,1,4,2,6,5,1,2,0,86184,2,SW
230022,3,2,1,5,1,2,1,2,2,2,5,5,5,1,5,1,5,5,2,2,2,30,60,5,5,5,5,5,1,1,2,3,3,2,1,1,2,3,1,4,2,6,3,84190,1,SW
230116,1,2,1,5,1,2,1,2,2,3,4,5,4,2,4,1,4,4,2,2,2,5,75,5,5,5,5,2,1,1,1,1,1,1,1,1,2,2,1,6,1,1,0,523026,2,SW
230214,2,1,1,5,1,1,1,1,5,2,3,3,4,2,4,2,4,3,2,1,2,10,5,4,4,3,3,2,5,5,5,5,5,1,1,1,2,2,1,3,1,1,0,218732,2,SW
