Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,NewHampshire,NewJersey,NorthDakota
27,Graphic Designers,3.25,1.25,1,3.88,3.12,2.12,2,2,3.62,3.5,2.75,1,3,1,1,3.12,3.75,3.5,2,2,3,2,2,2,1,62370,74200,51890
13,Human Resources Specialists,3.88,1.25,1,2.75,3.25,1.5,2.25,2.25,4,4,2,1,2.88,1,1,2,4,3.88,2,2,3,2,2,1,1,76280,86070,75080
13,"Insurance Appraisers, Auto Damage",3.25,1.5,1.38,2.38,3.25,2.12,2.62,2,4,4,2.38,1.5,3.12,1.38,1.62,2.38,3.75,3.62,1,2,2,2,1,2,2, ,87440, 
13,Insurance Underwriters,3.5,1.25,1,2.88,3.75,1.75,2.88,2.12,3.5,3.62,2.5,1,2.88,1,1,2,3.88,3.75,2,2,2,2,1,1,1,99830,98600,72610
27,Interior Designers,3.62,1,1,4.12,3.25,1,3,2.25,4,4,2.88,1,3,1,1,4,3.88,3.62,2,2,3,3,2,2,2,63920,75040,56750
27,Interpreters and Translators,3.12,1.38,1.38,3,3,1.5,2,2.88,4.12,4.25,2.88,1,3.12,1.88,1.38,2.75,4,4,1,2,1,2,2,1,1,55960,61900,47800
13,Labor Relations Specialists,3.75,1,1,3.5,3.75,1,2.5,2.75,4.12,4.25,2.5,1,2.88,1,1,2.38,4,4,2,2,3,3,2,2,1,105600,115720,95700
13,Loan Officers,3.75,1.25,1,3,3.75,2,3.25,2,4,4,2.25,1,3,1,1,1.88,4,3.88,2,2,2,2,2,2,1,97290,100160,92790
13,Logisticians,4,1.38,1.12,3.38,4,1,3,2.75,4,4,2.75,1,2.88,1,1,3.12,4,3.62,2,2,3,3,2,2,1,76650,97240,76960
13,Management Analysts,4,1,1,3.75,4,1,3,2.88,4.12,4.12,2.62,1,3,1,1,2.12,4.12,4,2,2,3,3,2,2,1,117180,119130,88880
13,Market Research Analysts and Marketing Specialists,4,1,1,4,4.12,1.12,3.38,2.75,4,4,2.75,1,2.88,1,1,2.38,4,4,2,2,2,3,2,1,1,74520,93780,66990
27,Media Programming Directors,3.75,1.12,1,3.88,3.62,2,2.5,2.75,4.25,4.25,2.38,2.12,3.12,1,1,2.62,4.12,4.12,2,2,3,3,2,2,1,69880,116970,56650
27,Media Technical Directors/Managers,4,1.38,1.25,3.38,3.75,2.25,2,2.75,4,4,3.25,2.25,3.25,1.38,1.38,3.12,3.75,3.75,2,2,2,3,2,2,2,69880,116970,56650
13,"Meeting, Convention, and Event Planners",3.88,1.88,1.25,3.75,3.62,2.25,3,2.38,4,4,2.62,1.62,3.12,2,1.88,3,4,4,2,2,3,3,2,2,1,62640,72260,53710
27,Merchandise Displayers and Window Trimmers,3.25,2.25,1.75,3.38,3,3.38,2.12,2,3.62,3.62,2.75,1.88,2.88,3,3,3.88,3,3,1,2,1,2,1,1,1,43380,40840,41080
27,Music Directors and Composers,3.5,2.25,1.75,3.75,3.12,2.25,2.12,3,3.62,3.62,2.75,1.5,3.12,2,1.75,2.38,3.75,3.5,2,2,3,3,2,2,1, , , 
27,Musicians and Singers,2.88,2.25,1.75,3,2.88,3.12,2.12,3.5,3.88,3.88,3,2.12,2.88,2.12,1.88,2.75,3.5,3.12,1,1,2,2,2,1,1, , , 
27,"News Analysts, Reporters, and Journalists",3.25,1.75,1.12,3.25,3.38,1.88,2,2.75,3.88,4,2.62,1.12,3.38,1.12,1.25,2.38,3.75,3.88,2,2,2,3,2,2,1,55030,77100,53410
13,Personal Financial Advisors,3.75,1,1,3.12,3.88,1,3.62,2.62,4,4,2.88,1,2.88,1,1,2,4,3.75,2,2,3,3,2,1,1,104340,170950,114900
27,Photographers,3.12,1.75,1.25,3.25,3,3,2,2,3.62,3.88,2.75,2.5,3,1.75,2,3.88,3.25,3,2,2,2,2,2,1,2,52480,60280,41470
27,"Poets, Lyricists and Creative Writers",3.12,1.62,1,4.25,3.38,2,1.88,2,3.88,3.75,1.88,1,3,1,1,2.5,4.12,4.75,2,2,1,2,2,1,1,67550,79770,53680
27,Producers and Directors,4.12,1.5,1.25,3.62,3.62,2.12,2.62,2.88,4.12,4.5,3,1.75,3.12,1,1.75,3.62,3.88,3.75,2,2,3,2,2,2,1,69880,116970,56650
27,Public Relations Specialists,3.88,1,1,3.75,3.62,1,2,2.25,4.25,4.12,2,1,2.88,1,1,2.62,3.88,4,2,2,3,3,2,2,1,86910,85180,73140
13,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.75,1.12,1,3,3.75,1.38,3.12,2.5,4,3.88,2.25,1,2.88,1,1,2,4.12,3.88,2,2,3,3,2,2,1, , , 
27,Set and Exhibit Designers,3.62,1.38,1,4.12,3.5,2.62,2.75,2.5,4,3.75,2.88,1.75,3,1.38,2.12,4,3.88,3.75,2,2,3,2,1,2,1, ,69910, 
27,Sound Engineering Technicians,3.25,1.38,1,3.25,3.12,2.88,2.12,2.5,3.75,3.75,3.12,1.75,3.38,1.12,2.12,3.12,3.5,3.5,2,2,2,2,1,1,3,65090,108520, 
27,Special Effects Artists and Animators,3.62,1.25,1,3.38,3.25,2.25,2.75,2.12,4.12,4,2.75,1.75,3,1,1,4,4,3.5,1,2,2,2,1,1,1, ,123510, 
27,Talent Directors,3.62,1.5,1,3.25,3.75,1.12,2.38,2.38,4,4.12,2.25,1,2.88,1.25,1,2.62,4,3.62,2,2,3,3,2,2,1,69880,116970,56650
13,"Tax Examiners and Collectors, and Revenue Agents",4,1.25,1,2.75,4,1.88,3.12,2.88,4,4,2.88,1,2.88,1,1,2.12,4,3.62,1,2,3,2,1,1,1,64950,92990,77390
13,Tax Preparers,3.62,1,1,2.88,3.38,1.88,3.25,2.25,3.88,3.5,2.62,1,2.88,1,1,2.12,3.88,3.12,1,2,2,1,1,1,1,55220,54240,58790
27,Technical Writers,3.75,1,1,3,3.38,2,1.88,2,3.88,3.75,2.12,1,2.5,1,1,3,4.12,4.25,1,2,2,2,1,2,1,99610,95170,76550
13,Training and Development Specialists,3.75,1,1,3.75,3.62,1,2.5,3,4,4.12,2.62,1,3,1,1,2.38,4,4,2,2,3,3,2,2,1,75410,81030,67940
27,"Umpires, Referees, and Other Sports Officials",3.25,2.12,2,1.88,3,1.75,2.12,3,3.75,3.88,3.12,2.12,3.12,2.88,2.12,2.62,3,2.88,1,2,2,2,1,1,1,43660,50130, 
13,"Wholesale and Retail Buyers, Except Farm Products",3.75,1.75,1.25,3,3.25,2,3.5,2.12,4,4,2.62,1,3,1.5,2,2.5,3.75,3,2,2,3,3,2,1,1, , , 
27,Writers and Authors,3.12,1.12,1.12,3.88,3.12,1.12,1.38,2.38,4,4,2,1.12,2.75,1.12,1.12,2.38,4.12,4.62,1,2,2,3,2,2,1,67550,79770,53680
