V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241521,V241567x,V241621,V243052
203494,2,2,1,2,1,2,3,5,5,1,5,4,4,1,5,1,4,5,2,2,2,15,70,5,5,5,5,2,1,1,1,1,2,2,1,1,2,4,6,1,2,1,1,49167,3,NE
203916,4,2,1,1,1,1,2,1,1,3,3,2,3,3,3,3,3,4,2,2,1,60,50,5,4,4,4,5,4,4,4,5,4,1,1,1,3,4,1,4,1,1,0,49149,4,NE
203934,2,1,1,1,1,1,1,1,1,2,3,4,3,3,5,3,4,4,1,1,1,70,30,2,1,1,1,1,5,5,5,5,5,2,2,2,4,2,1,4,2,1,0,178569,1,NE
204029,4,2,1,2,1,2,3,2,2,3,4,4,4,3,4,3,4,4,2,2,2,15,70,4,4,4,4,4,4,4,4,4,4,2,1,3,4,4,1,1,1,1,4,106035,4,NE
204788,2,2,1,2,1,2,1,2,2,3,4,3,2,1,5,1,4,3,2,2,2,15,60,5,5,5,5,4,1,1,2,3,1,1,1,1,3,3,1,2,1,1,0,166400,2,NE
204990,2,2,1,4,1,2,1,5,5,4,5,5,5,2,5,1,5,5,2,2,2,15,60,5,5,5,5,4,1,1,2,2,1,1,1,1,2,2,3,2,1,1,0,24810,4,NE
205236,2,1,1,4,1,1,2,5,5,3,2,2,1,4,2,3,1,2,1,2,1,40,10,4,3,3,3,2,4,3,5,5,3,2,1,1,2,2,6,2,1,1,0,298878,4,NE
205405,2,1,1,4,1,1,1,1,1,2,2,2,3,3,2,3,3,2,1,1,1,85,30,3,2,2,3,2,5,5,5,5,5,1,1,1,3,3,1,2,1,1,0,69761,2,NE
205832,3,1,1,1,1,1,1,1,1,2,3,1,1,3,3,2,2,4,1,1,1,80,20,1,1,1,1,1,5,5,5,5,5,1,1,2,4,2,1,5,1,1,2,346147,1,NE
206403,2,1,1,4,1,1,1,5,5,3,4,4,4,2,4,1,4,4,2,2,2,60,30,2,2,1,2,1,5,5,5,5,5,2,1,1,3,3,1,3,2,1,0,21374,3,NE
206568,4,1,1,4,1,1,1,1,5,4,3,1,2,3,3,4,4,3,2,1,1,70,40,2,2,2,2,2,5,5,5,5,3,2,1,2,3,4,4,3,1,1,1,67054,2,NE
312343,1,1,1,1,1,1,1,1,1,4,4,4,3,2,4,2,4,4,1,1,1,70,10,2,3,2,2,2,5,5,5,5,5,1,2,2,3,3,6,5,1,1,0,136720,2,NE
