Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,California,Oklahoma,Tennessee
47,"Plumbers, Pipefitters, and Steamfitters",3.5,3,2.5,2.62,3.38,3.5,2.5,2.25,3.25,3.12,3,2.75,3.12,2.75,3,3.25,3,2.62,1,2,1,1,1,1,3,78350,56890,59430
53,"Pump Operators, Except Wellhead Pumpers",3.12,2.88,1.38,2.38,3,3.12,2.88,2.12,3.75,3.62,3.75,3,3.12,2.62,3,3,3.12,3.25,1,2,1,1,1,1,3,55210,58400,48110
53,"Rail Yard Engineers, Dinkey Operators, and Hostlers",3.25,2.38,1.75,2.62,3,3.38,2,2.12,4,3.62,3.12,3.75,3.38,2.25,3,3.12,3,2.75,2,2,1,1,1,2,3,62490, , 
47,Rail-Track Laying and Maintenance Equipment Operators,3.12,3.12,2,2.5,3,3.75,2.12,2,3.12,3,3.25,3.62,3.12,3,3.25,3.38,2.88,2.5,1,2,1,1,1,1,3,66700, ,67070
53,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",3.25,2.75,2.62,2.38,3.25,3.38,2,1.88,3.62,3.25,3.5,3.5,3,2.5,2.75,3,3.25,2.88,1,2,1,1,1,1,3,60770, , 
53,Railroad Conductors and Yardmasters,3.38,2,1,2.62,3.38,2.75,2.38,2.25,3.88,4,3.12,3.25,3.12,2.5,2.62,3.12,3.25,3.12,2,2,2,2,1,2,2,74040,83900,67180
53,Recycling and Reclamation Workers,2.62,2.25,1.12,2.12,2.62,3.75,1.88,2,3.12,3.12,3.12,3.12,3.12,2.62,2.88,2.38,2.75,2.75,1,1,1,1,1,1,3,44270,36400,39430
53,Recycling Coordinators,3.62,1,1,2.88,3.38,2.25,2.75,2.25,3.88,3.88,2.5,2,3.12,1.12,2.12,2.25,3.38,3.12,1,2,2,3,2,2,1, , , 
53,Refuse and Recyclable Material Collectors,2.62,2.62,1.88,1.75,2.5,3.12,1,2,3,2.88,2.38,3.12,2.75,2.75,3.25,2.5,2.5,2.5,1,1,1,1,1,1,3,64290,39920,40140
47,Reinforcing Iron and Rebar Workers,3,3.12,2.25,2.38,2.88,3.62,2.12,2,2.88,2.88,2.62,3.25,2.75,3.38,3.88,3,2.5,1.88,1,1,1,1,1,1,2,68560,50380,67760
47,"Rock Splitters, Quarry",2.88,3,1.25,1.88,2.75,3.25,1.88,2,3,2.88,2.75,2.88,2.88,3.12,3.5,3,2.38,2.12,1,1,1,1,1,1,3,70890,44340,45820
47,"Roof Bolters, Mining",3,2.88,2.12,2.25,2.88,3.88,2,2.12,3,3,2.75,3.75,3.5,3.12,3.62,3,2.62,2.12,1,2,1,1,1,1,3, , , 
47,Roofers,3,2.5,2.25,2.25,3,3.5,2,2,3.38,3,2.88,2.88,3,3.25,3.12,3,2.62,2.12,1,2,1,1,1,1,2,68080,47000,45730
47,"Rotary Drill Operators, Oil and Gas",3.38,2.5,1.13,2.5,3.38,3.75,2.5,2.25,3.63,3.63,3.13,3.13,3.38,2.38,2.88,3,3.13,3.25,2,2,2,2,1,1,3,89370,66350, 
47,"Roustabouts, Oil and Gas",3,2.5,2,2,2.75,3.75,2,2,3.12,3,2.88,3,3,3.12,3.25,3,2.25,2,1,2,1,1,1,1,3,56050,46470, 
53,Sailors and Marine Oilers,3.12,2.88,1.88,2.38,3.12,3.5,2.5,2.25,3.75,3.12,3.75,3.12,3.25,3,3.12,3.12,3,2.88,1,2,2,2,1,1,3,56670, ,56100
47,Segmental Pavers,3.12,2.75,1.12,2.62,3.12,3.38,2.12,2,3.62,3.62,2.75,3,2.88,2.5,3.25,3,3,3,1,2,2,2,2,1,3, , , 
47,Septic Tank Servicers and Sewer Pipe Cleaners,3.12,2.88,1.88,2.5,3,3.75,2.12,2.38,3.5,3.12,3,3.25,3,2.62,3.12,3,2.75,2.5,1,2,1,1,1,1,3,57540,42510,49990
47,"Service Unit Operators, Oil and Gas",3.12,2.75,1.25,2.62,3.25,3.38,2.88,2.38,3.38,3.25,3.38,3.5,3.38,2.75,3.12,3.12,3,3,2,2,2,2,1,1,3,71470,60600,49560
47,Sheet Metal Workers,3.12,2.5,2,2.5,3,3.38,3,2.12,3.12,3.12,3,3,3.25,2.88,3.12,3.62,3.12,2.5,1,2,1,1,1,1,3,86530,61150,55600
53,Ship Engineers,4,2,2,3,3.25,3.12,2.62,2.38,4,4,3,3.12,3.12,2.5,3,3.12,3.62,3.12,2,2,1,1,1,1,3,135640, ,98660
47,Solar Energy Installation Managers,3.62,2,1.75,2.88,3.38,3,2.75,2.38,3.88,4,2.88,2.25,3,2.12,2.38,3.25,3.88,3.38,2,2,3,3,2,2,3,101990,75150,73330
47,Solar Photovoltaic Installers,3.25,2.5,1.62,2.38,3,3.25,2.38,2,3.25,3.12,3.12,2.12,3,2.62,3.12,3.62,2.88,2.75,1,2,1,2,1,1,3,66440, , 
47,Solar Thermal Installers and Technicians,3,2.75,2.38,2.88,3,3,2.62,2.5,3.62,3.38,2.88,2.5,3.25,2.5,2.88,3.12,3.38,3,1,2,2,2,1,2,3,78350,56890,59430
53,Stockers and Order Fillers,2.62,2.75,2.25,2.5,2.62,3.12,2,2.38,3.38,3.12,2.62,1.88,3,2.62,3,2.5,3.12,2.5,1,1,1,1,1,1,2,43150,35810,36810
47,Stonemasons,3,3.13,1.63,2.63,3.13,3.5,2.38,2.38,3.25,3.25,2.5,2.63,3,3.5,3.75,3.25,2.75,2.75,2,2,2,2,2,2,3,66110, ,44550
47,Structural Iron and Steel Workers,3.12,3.62,2.12,2.88,2.88,4,2.25,2,3.25,3.12,3,3.5,3.75,3.5,4.12,4,3,2.25,1,2,1,1,1,1,3,75650,48760,57440
53,Subway and Streetcar Operators,3.62,2.12,2,2,3,3.5,2.38,2.12,3.38,3.62,3.62,3.88,3.62,2,2.38,2.88,3,2.75,1,1,2,2,1,1,3,72640, , 
53,"Tank Car, Truck, and Ship Loaders",2.88,2.75,1.75,2.62,2.88,3.75,2.5,2,3.25,3.12,3.62,3.62,3.12,3.12,3.62,3,3,3,1,1,1,1,1,2,3,62240,42360,66440
47,Tapers,2.75,2,1.88,2.12,2.75,3.12,1.5,2,3,2.88,2.12,2.12,2.62,2.75,2.38,2.38,2.5,2,1,1,1,1,1,1,2,74310, , 
47,Terrazzo Workers and Finishers,2.88,3,2.25,2.5,2.62,3.75,2,2,2.88,2.75,2.88,2.88,3,3.12,3.12,3.12,2.12,1.88,1,1,1,1,1,1,2,42000, , 
47,Tile and Stone Setters,3,2.5,1.38,2.62,3,3.12,2.75,2.12,3.12,3,2.75,2.5,2.88,3.12,3.12,3.75,2.88,2.5,1,1,1,1,1,1,2,60580,47020,43560
53,Traffic Technicians,3.38,1.62,1.62,3,3.75,2.12,3,2.25,3.88,3.88,3.12,2.25,3.12,1.62,1.62,3.12,3.62,3.12,2,2,2,2,1,1,2,75260,57330,55590
53,Transportation Inspectors,3.75,1.88,1.88,2.88,3.62,1.62,2.88,2.38,3.88,3.88,3.12,2.12,3.12,2.5,2.25,3.12,3.62,3.62,2,2,2,2,2,2,3,85570,107580,77080
53,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",3,1.88,1.25,2,3,2.88,2,2.12,3.62,3,2.88,2.25,3,2.12,2.12,2.88,2.75,2.75,1,1,1,1,1,1,3,85570,107580,77080
47,Weatherization Installers and Technicians,3,2.5,1.75,3,3,3.75,2.75,2.12,3.25,3.25,2.88,3,3,2.5,2.88,3.12,2.88,2.75,1,2,2,2,1,1,3, , , 
53,Wellhead Pumpers,3.12,2.38,1.75,2.12,3.12,3.12,2.12,2.12,2.88,3,3.12,3.25,2.75,2.75,3.12,2.75,2.88,2.62,1,2,1,1,1,1,3,67880,60100, 
